aid,author,avg_click,chapter_count,comment_count,copystatus,created,era,intro,is_signed,is_vip,like_count,logline,nid,ranking,rating,score,style,tags,title,updated,word_count,xx,yc
2483035,见昀,"88,643",121,"7,267",0,2021-07-06,近代现代,,1,1,34676,我披着异能者马甲的那些年,5058500,40247,8.6,0,轻松,"综漫,文野,咒回,马甲文",我得到了文豪系统,2022-08-06,"420,082",无CP,衍生
2483035,见昀,"56,439",139,"4,045",0,2020-01-19,近代现代,,1,1,17422,我与式神拯救世界,4436814,64859,8.9,0,轻松,"综漫,系统,快穿,马甲文",阴阳师系统,2022-05-31,"471,887",纯爱,衍生
2617661,柚木沢,"3,466",43,615,0,2023-01-01,近代现代,,1,1,2605,他是我的国王,7443595,238232,,0,轻松,"网王,少年漫,甜文,柯南",影山不肯和我分手,2023-02-16,"141,625",言情,衍生
3999902,听山说雾,"26,724",58,"1,343",0,2023-01-06,近代现代,,1,1,12295,分头出发，顶流相遇,7456334,664,,0,轻松,时代奇缘,老祖宗带黑红晚辈在综艺爆红啦,2023-02-16,"420,355",言情,原创
2617661,柚木沢,"6,759",51,376,0,2020-02-07,近代现代,,1,0,1757,今天也在全心全意地爱chuya,4533811,暂无排,8.6,0,正剧,"网王,少年漫,甜文,文野",[综]请不要窥探我的百宝袋,2022-09-01,"171,077",言情,衍生
762398,神殿祭司,"1,236",40,147,0,2019-03-20,架空历史,,1,0,235,在大神脑洞世界当主角,4057433,77749,,0,轻松,"情有独钟,系统,甜文,快穿",没有我圆不了的脑洞[快穿],2019-06-19,"111,547",纯爱,原创
2617661,柚木沢,"2,742",28,184,0,2019-08-20,近代现代,,1,0,249,不写了,4318947,184027,7.3,0,正剧,"综漫,少年漫",[综]百宝袋的正确用法,2020-02-04,"88,822",言情,衍生
2617661,柚木沢,"2,846",79,"1,018",0,2022-09-02,近代现代,,1,1,3358,只是充电吗,7310570,172615,9.3,0,轻松,"综漫,少年漫,黑篮,甜文",赤苇学长请做我的充电器,2022-12-09,"265,378",言情,衍生
3999902,听山说雾,"13,172",98,629,0,2022-05-18,近代现代,,1,1,4925,锦鲤转运，水逆退散！,6018249,2554,7.7,0,轻松,"时代奇缘,现代架空",锦鲤幼崽，娃综爆红,2022-08-03,"390,426",言情,原创
3999902,听山说雾,"2,425",30,93,0,2022-01-28,近代现代,,1,1,969,建设国家，义不容辞！,6006495,280078,8.0,0,轻松,"穿越时空,竞技,励志人生",满级大佬一心爱国,2022-10-18,"116,424",言情,原创
460447,木易雨山,"4,508",28,"3,062",0,2022-12-22,近代现代,,1,1,3279,歌唱美丽的生活,7532920,18103,,0,轻松,"都市情缘,豪门世家,情有独钟,天之骄子",拾阶黄莺在唱歌,2023-02-15,"125,737",言情,原创
