aid,author,avg_click,chapter_count,comment_count,copystatus,created,era,intro,is_signed,is_vip,like_count,logline,ndlist_date,ndlist_rank,nid,ranking,rating,score,style,tags,title,updated,word_count,xx,yc
3097366,半今八两,"151,909",204,"9,306",0,2021-11-01,幻想未来,,1,1,44461,我明明是一棵树啊！,0000-00-00,-1,5125411,924,8.4,4.1亿,轻松,"豪门世家,星际,甜文,未来架空",我怎么可能有五个爸爸[星际],2022-02-28,"634,072",言情,原创
3745318,北山小石,"33,567",209,"3,664",0,2022-01-20,近代现代,,1,1,14881,团宠修罗场,0000-00-00,-1,5797553,9505,8.9,1.6亿,轻松,"综漫,系统,直播,咒回",穿成万人迷咒灵以后,2023-02-02,"778,087",言情,衍生
3745318,北山小石,"15,704",113,753,0,2021-07-12,近代现代,,1,1,7373,穿成宿傩妹妹后和5t5HE了,0000-00-00,-1,5807074,161027,7.5,6621.5万,正剧,"甜文,成长,异想天开,咒回",关于我哥是宿傩而我男友是5t5这件事,2023-02-02,"385,349",言情,衍生
3097366,半今八两,"65,063",97,"4,576",0,2022-07-05,幻想未来,,1,1,31912,全星际都想吸我。,0000-00-00,-1,7002956,1319,8.0,3.7亿,轻松,"穿越时空,星际,甜文,未来架空",猫薄荷在星际当团宠,2022-10-06,"850,059",言情,原创
4879045,吱吱复吱吱,"2,332",59,591,0,2023-01-02,幻想未来,,1,1,2760,最强治疗不是辅助，而是打野,2023-02-18,24,7025291,56925,,2467.3万,轻松,"异能,游戏网游,星际,爽文",星际第一打野,2023-02-26,"202,334",纯爱,原创
3097366,半今八两,"18,361",60,873,0,2020-06-19,幻想未来,,1,1,6141,我在末世开连锁超市。,0000-00-00,-1,4917906,126647,7.5,6782.2万,轻松,"科幻,随身空间,末世,系统",我在末世开超市,2021-11-29,"195,760",言情,原创
3745318,北山小石,"8,012",110,408,0,2021-03-08,幻想未来,,1,1,2745,我在星际当神明,0000-00-00,-1,5584063,55045,8.4,3277.6万,轻松,"女强,机甲,星际,爽文",在古神星系当机甲法师,2021-09-17,"357,521",言情,原创
4879045,吱吱复吱吱,"1,037",63,82,0,2022-11-24,幻想未来,,1,0,423,独立猫猫不找铲屎官,0000-00-00,-1,7553107,152594,9.6,760.1万,正剧,"娱乐圈,甜文,穿书,爽文",团宠猫咪爆红日常,2022-12-31,"163,246",纯爱,原创
3097366,半今八两,"5,942",59,264,0,2020-12-28,幻想未来,,1,1,2347,胖友！来种田吗！吃好吃的吗！,0000-00-00,-1,5125391,183516,8.4,3401.2万,轻松,甜文,我在星际种田养龙,2021-04-26,"205,447",言情,原创
3097366,半今八两,"6,784",56,531,0,2022-04-01,幻想未来,,1,1,4327,一不小心变成了救世主？,0000-00-00,-1,6349576,120171,8.2,6338.2万,轻松,"女强,未来架空",满级法师穿到异世后,2022-05-23,"442,300",言情,原创
1727405,蔚竹,"4,596",22,373,0,2023-01-31,近代现代,,1,1,4331,先婚后爱小甜文。,2023-02-18,20,5828342,241987,,6541.5万,轻松,"豪门世家,天之骄子,甜文",豪门作精的婚后日常,2023-02-26,"81,180",言情,原创
1727405,蔚竹,"72,658",55,"1,291",0,2018-03-11,近代现代,,1,1,18382,甜宠文，不解释→_→,0000-00-00,-1,2995718,111342,8.0,2.4亿,轻松,"婚恋,甜文",只想撩你[娱乐圈],2021-12-04,"190,628",言情,原创
3097366,半今八两,369,15,19,0,2022-06-22,架空历史,,1,0,308,这个魔界不太对劲！,0000-00-00,-1,6876652,276263,,939.7万,轻松,"强强,情有独钟,异世大陆,爽文",失忆魔尊在魔界当卧底的日子,2022-07-14,"51,376",言情,原创
1727405,蔚竹,"2,291",48,367,0,2022-05-03,近代现代,,1,1,2557,为爱上清华！！！,0000-00-00,-1,5795766,242075,8.5,5160.9万,轻松,"天之骄子,励志人生,甜文,校园",一不小心上了清华,2022-11-05,"163,085",言情,原创
1727405,蔚竹,"22,467",75,639,0,2021-07-01,近代现代,,1,1,11684,甜文呀,0000-00-00,-1,4352251,120780,8.6,1.6亿,轻松,"豪门世家,情有独钟,天之骄子,甜文",傅医生他又撩又宠,2021-12-04,"313,286",言情,原创
1727405,蔚竹,"46,050",63,"1,982",0,2021-11-09,近代现代,,1,1,25255,老房子着火了。,0000-00-00,-1,4720274,102353,8.3,3.2亿,轻松,"豪门世家,情有独钟,娱乐圈,甜文",失控,2022-11-28,"254,290",言情,原创
1848202,豆子禹,"2,238",41,391,0,2023-02-01,近代现代,,1,1,1656,九零年代摩托车汽车大王,2023-02-19,18,5707220,242255,,1845.4万,轻松,"种田文,穿书,年代文,逆袭",穿到九零赚百亿,2023-02-26,"239,460",言情,原创
1848202,豆子禹,"2,429",102,88,0,2022-03-15,近代现代,,1,1,1559,作精美人拿了万人迷剧本,0000-00-00,-1,5193267,222204,10.0,1763.2万,轻松,"娱乐圈,穿书,爽文,逆袭",这个戏精超强却过分沙雕,2023-02-13,"397,889",言情,原创
3097366,半今八两,"12,141",63,382,0,2022-04-19,近代现代,,1,1,4396,崽崽最棒！崽崽最可爱！,0000-00-00,-1,6572330,240368,8.3,4947.3万,轻松,"娱乐圈,甜文,直播,都市异闻",妖怪崽崽在综艺当团宠,2022-06-12,"205,931",言情,原创
3097366,半今八两,"1,574",58,169,0,2021-07-05,近代现代,,1,1,596,当一条咸鱼为什么这么难！,0000-00-00,-1,5488775,242679,7.8,1846.4万,轻松,"异能,女强,未来架空",这个丧尸皇我不当了！[末世],2021-08-30,"187,902",言情,原创
1848202,豆子禹,"12,390",85,233,0,2021-05-02,近代现代,,1,1,2941,我在娱乐圈掀起爱国风潮,0000-00-00,-1,5141172,285442,7.3,2711万,轻松,"豪门世家,娱乐圈,异能,穿书",沙雕影后，精忠报国,2023-02-11,"329,706",言情,原创
