aid,author,avg_click,chapter_count,comment_count,copystatus,created,era,intro,is_signed,is_vip,like_count,logline,ndlist_date,ndlist_rank,nid,ranking,rating,score,style,tags,title,updated,word_count,xx,yc
5361558,我算什么小饼干,"11,900",52,"4,280",0,2022-12-30,幻想未来,,1,1,10394,我之前是个人类,2023-02-17,"(3.0,)",7657542,27669,,1.2亿,轻松,"重生,甜文",虫族之渣虫觉醒笔记,2023-02-22,"193,375",纯爱,原创
1775974,梦里呓语,"82,682",134,"6,570",0,2019-12-28,近代现代,,1,1,20217,玄能救非，氪能改命！,None,"(None,)",3642584,23275,9.4,3.9亿,正剧,"英美衍生,系统,爽文,马甲文",氪金系统附身之后[综英美],2023-02-03,"656,407",言情,衍生
1775974,梦里呓语,"37,674",66,"2,841",0,2019-03-26,近代现代,,1,1,9887,挖下一个坑，种下一个桶~,None,"(None,)",3600312,48236,9.0,1.7亿,正剧,"英美衍生,情有独钟,励志人生,成长",[综英美]不挖坑就会死,2022-12-13,"255,031",言情,衍生
1775974,梦里呓语,"1,585",50,415,0,2022-09-05,近代现代,,1,1,2467,从没落王室到名留青史。,None,"(None,)",4059319,79628,,6354.2万,正剧,"西方罗曼,穿越时空,历史衍生,励志人生",女皇养成计划[历史],2023-01-08,"285,894",言情,衍生
1775974,梦里呓语,"56,917",164,"6,084",0,2018-08-15,近代现代,,1,1,15337,一只橘猫引发的爱情故事。,None,"(None,)",3580333,23348,9.3,3.2亿,正剧,"英美衍生,灵异神怪,超级英雄,成长",大橘为重[综英美],2022-12-24,"649,106",言情,衍生
1775974,梦里呓语,"44,495",146,"2,920",0,2020-09-02,近代现代,,1,1,13681,快乐反手干掉狗男主们。,None,"(None,)",4079190,4776,,2.6亿,正剧,"女强,系统,快穿,爽文",虐文系统误绑了满级大佬,2023-02-11,"1,170,624",言情,原创
1775974,梦里呓语,"35,658",133,"2,216",0,2018-04-24,近代现代,,1,1,8328,爱是最牢不可破的屏障与誓言。,None,"(None,)",3565270,52498,9.0,1.7亿,正剧,"英美衍生,甜文,超级英雄,时尚流行",[综英美]天使之吻,2020-09-22,"464,035",言情,衍生
1775974,梦里呓语,"58,947",92,"1,712",0,2019-08-19,近代现代,,1,1,15081,今天也没能低调成功。,None,"(None,)",3566683,23835,9.1,2.2亿,正剧,"情有独钟,前世今生,爽文,玄学",山海少女是玄学大佬,2022-11-01,"463,027",言情,原创
1775974,梦里呓语,"13,874",30,"2,838",0,2023-01-24,古色古香,,1,1,14162,在神话和红楼世界努力工作升职。,2023-02-17,"(2.0,)",3871848,28819,,2.1亿,正剧,"红楼梦,灵异神怪,古典名著,爽文",太虚幻境可持续发展报告,2023-02-23,"134,562",言情,衍生
1775974,梦里呓语,"1,148",14,19,0,2016-04-16,古色古香,,1,0,167,只恨相识未早。,None,"(None,)",2733648,暂无排,9.5,2268.3万,悲剧,"情有独钟,虐恋情深,传奇,东方玄幻",[综神话]双月传说,2022-11-14,"40,810",百合,衍生
