aid,author,date,genre,nid,rank,tags,title,vip_date,wd_count,xx,yc
5297776,甜間风仔,2023-02-11,原创-言情-近代现代-爱情,7575074,35,"天之骄子,励志人生",直到海水变蓝,2023-02-12 04:00:59,12.27万,言情,1
4108968,不窈窕,2023-02-11,原创-言情-架空历史-爱情,7468550,36,"情有独钟,天作之合,甜文,快穿",官配拒绝BE（快穿）,2023-02-12 04:01:08,12.96万,言情,1
5071100,陶里,2023-02-11,原创-言情-近代现代-爱情,7565954,37,"都市情缘,欢喜冤家,甜文",抱歉，我不是你的野蛮人,2023-02-12 04:00:46,15.69万,言情,1
5359364,冼清秋,2023-02-09,原创-言情-架空历史-爱情,7695488,30,"宫廷侯爵,天作之合,重生,甜文",女将军的娇夫马甲掉了（双重生）,2023-02-12 23:39:17,7.75万,言情,1
5293689,鑫鑫鑫子,2023-02-10,原创-言情-架空历史-爱情,7605115,34,"宫廷侯爵,天作之合,重生,甜文",掌中玉,2023-02-12 00:00:02,8.43万,言情,1
5297776,甜間风仔,2023-02-10,原创-言情-近代现代-爱情,7575074,35,"天之骄子,励志人生",直到海水变蓝,2023-02-12 04:00:59,12.27万,言情,1
4108968,不窈窕,2023-02-10,原创-言情-架空历史-爱情,7468550,36,"情有独钟,天作之合,甜文,快穿",官配拒绝BE（快穿）,2023-02-12 04:01:08,12.96万,言情,1
5071100,陶里,2023-02-10,原创-言情-近代现代-爱情,7565954,37,"都市情缘,欢喜冤家,甜文",抱歉，我不是你的野蛮人,2023-02-12 04:00:46,15.69万,言情,1
4306570,猫头鹰的糖,2023-02-15,原创-言情-近代现代-爱情,6269688,43,"娱乐圈,励志人生,甜文,都市异闻",被逐出师门后我靠卖艺火了,2023-02-12 04:01:25,20.04万,言情,1
5364650,雪满春,2023-02-15,原创-言情-架空历史-奇幻,7658408,44,"情有独钟,前世今生,朝堂之上,异闻传说",掉马后我成了男主两世白月光,2023-02-12 04:01:05,17.36万,言情,1
4993144,水流云不在,2023-02-15,原创-言情-近代现代-爱情,7205469,45,"都市情缘,天作之合,天之骄子,时代新风",汀烟冉冉生,2023-02-12 04:00:40,23.97万,言情,1
