aid,author,era,nid,rank,rank_date,tags,title,vip_date,word_count,xx,yc
3945497,东青衔枝,架空历史,7704939,39,2023-02-18,"奇幻魔幻,欢喜冤家,西幻,史诗奇幻",我那暴躁的魔法师男友,2023-02-15,9.41万,纯爱,原创
4295688,今知子,近代现代,6816181,40,2023-02-18,"情有独钟,恋爱合约,甜文,校园",绿茶舍友他天天都在钓我,2023-02-15,9.43万,纯爱,原创
4840665,安潼,架空历史,7073501,41,2023-02-18,"红楼梦,穿书,科举,朝堂之上",[红楼+科举]我在荣国府搞内卷,2023-02-15,12.77万,言情,衍生
4418432,尖刀猫,古色古香,7091710,42,2023-02-18,"情有独钟,历史衍生,古典名著,萌宠",[西游]唐妖征订录,2023-02-15,9.84万,纯爱,衍生
2448836,孙家小娘,架空历史,4855398,32,2023-02-19,"布衣生活,重生,市井生活,小门小户",女配罢工日记,2023-02-16,29.14万,言情,原创
4303980,金金阿月,近代现代,7599424,33,2023-02-19,"情有独钟,穿越时空,民国旧影,年代文",金陵春,2023-02-16,9.97万,纯爱,原创
3734519,小七不月半,架空历史,6381489,34,2023-02-19,欢喜冤家,狠毒夫妇对付过日常,2023-02-16,9.99万,言情,原创
4137792,绝世小垃圾,近代现代,6443641,24,2023-02-21,"豪门世家,天作之合,娱乐圈,甜文",老婆总以为我很渣,2023-02-18,8.62万,百合,原创
282324,漠漠无雨,近代现代,4632110,25,2023-02-21,"时代奇缘,豪门世家,甜文,爽文",玄学大佬穿成白月光替身,2023-02-18,9.67万,言情,原创
4909995,躺着当咸鱼,架空历史,7064357,26,2023-02-21,"火影,综漫,海贼王,咒回",论奶妈救人的正确方式,2023-02-18,30.05万,言情,衍生
4204916,酒尔呀,近代现代,7759622,22,2023-02-20,"都市情缘,情有独钟,因缘邂逅,励志人生",恋爱吧，就现在,2023-02-17,7.05万,言情,原创
117014,淡樱,近代现代,4852000,23,2023-02-20,"豪门世家,情有独钟,甜文",月亮指令,2023-02-17,6.98万,言情,原创
5356995,浮见月,幻想未来,7647963,24,2023-02-20,"强强,游戏网游,爽文,直播",游戏主播竟是联邦神狙[全息],2023-02-17,14.33万,纯爱,原创
757095,牛尔尔,近代现代,4343866,25,2023-02-20,"情有独钟,因缘邂逅,恋爱合约,甜文",玫瑰与红烧肉,2023-02-17,7.97万,百合,原创
2353957,惘若,近代现代,7547073,26,2023-02-20,都市情缘,纸婚,2023-02-17,7.28万,言情,原创
4051629,孙筱西,近代现代,5999991,33,2023-02-22,"豪门世家,情有独钟,破镜重圆,甜文",捧杀[娱乐圈],2023-02-19,14.23万,言情,原创
1935173,鲤什么,近代现代,3982083,34,2023-02-22,"情有独钟,破镜重圆,娱乐圈,甜文",巨星前夫竟是我的死忠粉[娱乐圈],2023-02-19,20.02万,纯爱,原创
4297562,绯西,架空历史,7582597,31,2023-02-23,"综漫,齐神,文野,咒回",身为齐神他妹的我和虎杖HE了,2023-02-20,22.57万,言情,衍生
2157992,星陨落,近代现代,5230902,32,2023-02-23,"种田文,重生,甜文,年代文",全家重回八零经营致富,2023-02-20,18.22万,言情,原创
1565117,忆晓晓,幻想未来,6172560,33,2023-02-23,"强强,恐怖,无限流,爽文",凶夜降临[无限],2023-02-20,7.42万,言情,原创
5349533,千金不醉,架空历史,7644090,34,2023-02-23,"情有独钟,天作之合,穿书,成长",这个小师妹我不当了,2023-02-20,10.08万,言情,原创
5247832,十月甜枣,古色古香,7554579,25,2023-02-17,"清穿,天作之合,穿越时空,甜文",清穿之八福晋,2023-02-14,12.15万,言情,原创
5058334,笨蛋鱼鱼,架空历史,7247870,26,2023-02-17,"天作之合,系统,甜文,穿书",救世系统她跟着反派跑了！,2023-02-14,9.14万,言情,原创
3225136,林以枳,幻想未来,5502042,27,2023-02-17,"异能,末世,游戏网游,未来架空",靠炼金术成为全球第一制作商[星际],2023-02-14,11.14万,言情,原创
4875594,辞叶宵,近代现代,7691743,28,2023-02-17,"情有独钟,天作之合,重生,甜文",与你天注定,2023-02-14,14.23万,百合,原创
484670,百里挑一,架空历史,7398554,43,2023-02-18,"随身空间,穿越时空,种田文,末世",末世求生，但在古代,2023-02-15,20.91万,言情,原创
496153,落花浅笑,近代现代,7562309,44,2023-02-18,"情有独钟,穿越时空,甜文",穿成校园文的校花女配,2023-02-15,11.75万,言情,原创
4558241,拿铁奶夕,近代现代,6666078,45,2023-02-18,"花季雨季,欢喜冤家,破镜重圆,校园",掉马后死对头真香了,2023-02-15,13.49万,纯爱,原创
4680467,江月初,架空历史,6905567,46,2023-02-18,"强强,情有独钟,穿越时空,仙侠修真",龙傲天的炮灰夫君,2023-02-15,15.39万,纯爱,原创
4712502,野沐,架空历史,7002013,47,2023-02-18,"前世今生,仙侠修真,系统,穿书",拯救师尊后被迫成为万人迷,2023-02-15,10.84万,纯爱,原创
5138329,一只根号四,近代现代,7528202,48,2023-02-18,"情有独钟,甜文,成长",小摄影师仰望的星河,2023-02-15,14.24万,百合,原创
2580233,原追,近代现代,4653498,49,2023-02-18,"都市情缘,边缘恋歌,天之骄子,婚恋",消融黑夜,2023-02-15,6.49万,言情,原创
2161177,明顾,近代现代,5982360,35,2023-02-19,"三教九流,近水楼台",过境,2023-02-16,13.08万,言情,原创
2219409,抱不动春寒,近代现代,7411099,36,2023-02-19,"都市情缘,情有独钟,因缘邂逅,甜文",在你的眼眸,2023-02-16,20.11万,百合,原创
3703288,晚饮无,近代现代,6128117,27,2023-02-21,"幻想空间,情有独钟,甜文,穿书",直男?你最好是,2023-02-18,9.47万,纯爱,原创
4667720,不尽不由,幻想未来,6786684,28,2023-02-21,"幻想空间,情有独钟,种田文,机甲",雄虫手打柠檬茶暴富[虫族],2023-02-18,11.34万,纯爱,原创
4113615,流光樱桃,架空历史,6351166,29,2023-02-21,"宫廷侯爵,情有独钟,甜文",将军难撩,2023-02-18,9.5万,言情,原创
457536,我即江湖,架空历史,5440708,30,2023-02-21,"江湖恩怨,情有独钟,甜文,穿书",今天也靠抽卡活命[穿书],2023-02-18,9.58万,纯爱,原创
5021497,胡姬花,架空历史,7338139,31,2023-02-21,"强强,前世今生,重生,相爱相杀",魔尊他有性别认知障碍,2023-02-18,18.78万,纯爱,原创
1376321,韩七酒,架空历史,7062084,32,2023-02-21,"情有独钟,欢喜冤家,甜文,朝堂之上",穿成美娇娘的心头肉,2023-02-18,16.64万,百合,原创
3809776,观樱,架空历史,7374170,33,2023-02-21,"宫廷侯爵,天作之合,甜文",蛊心,2023-02-18,8.08万,言情,原创
4614108,在酒,架空历史,7232849,34,2023-02-21,边缘恋歌,偏执夺娇,2023-02-18,8.98万,言情,原创
4515609,桃味大福,近代现代,6943886,27,2023-02-20,"综漫,青梅竹马,少年漫,柯南",和景光贴贴,2023-02-17,8.99万,言情,衍生
2650110,是如,幻想未来,4462865,28,2023-02-20,"星际,网红,直播,萌宠",我靠直播养主人,2023-02-17,8.85万,纯爱,原创
2256661,季七欢,幻想未来,6787182,29,2023-02-20,"女强,美食,星际,爽文",我在怪物巢穴干饭,2023-02-17,5.79万,言情,原创
3443782,陈年烈酒,架空历史,7115986,30,2023-02-20,"穿越时空,甜文,爽文",别救我！我要回家！,2023-02-17,8.85万,言情,原创
3137978,百里合气,架空历史,6196562,31,2023-02-20,"仙侠修真,系统,穿书",穿成战五渣后整个宗门都开始内卷了,2023-02-17,8.09万,百合,原创
1138329,福禄丸子,近代现代,4163509,32,2023-02-20,"都市情缘,恋爱合约,天之骄子,娱乐圈",春野,2023-02-17,7.56万,言情,原创
4560170,飞萌,架空历史,7384046,35,2023-02-23,"强强,宫廷侯爵,重生,甜文",公主命（重生）,2023-02-20,42.42万,言情,原创
3945439,眠星枕月,近代现代,5832468,36,2023-02-23,"灵异神怪,恐怖,三教九流,玄学",不要和阎王做交易,2023-02-20,28.66万,无CP,原创
3957578,莫晴沙,近代现代,6172125,37,2023-02-23,"穿书,爽文,逆袭,校园",虐文女主是我妈[穿书],2023-02-20,33.18万,言情,原创
4812410,妖叄肆灵,近代现代,6937392,38,2023-02-23,"古穿今,甜文,现代架空,年代文",七零之娇娇的忠犬老公,2023-02-20,25.79万,言情,原创
4634700,虚舟有越,架空历史,6706644,39,2023-02-23,"穿越时空,种田文,系统,甜文",我有一个饿死鬼系统,2023-02-20,77.23万,言情,原创
