aid,follower_count,name,ndlist_date,ndlist_rank,nid,pub_date,score
5361558,248,我算什么小饼干,2023-02-17,3,7657542,2022-12-30 00:04:12,1.2亿
1775974,5484,梦里呓语,,,3566683,2019-08-19 21:00:01,31.2亿
1775974,5484,梦里呓语,,,4079190,2020-09-02 09:00:00,31.2亿
1775974,5484,梦里呓语,,,3642584,2019-12-28 14:00:00,31.2亿
1775974,5484,梦里呓语,,,3580333,2018-08-15 01:52:57,31.2亿
1775974,5484,梦里呓语,,,3565270,2018-04-24 03:00:00,31.2亿
1775974,5484,梦里呓语,,,3600312,2019-03-26 18:00:01,31.2亿
1775974,5484,梦里呓语,2023-02-17,2,3871848,2023-01-24 21:00:00,31.2亿
1775974,5484,梦里呓语,,,4059319,2022-09-05 21:00:00,31.2亿
1775974,5484,梦里呓语,,,2956911,2016-12-22 18:15:00,31.2亿
1775974,5484,梦里呓语,,,2734715,2019-01-02 09:00:00,31.2亿
1775974,5484,梦里呓语,,,2734797,2016-04-20 07:50:00,31.2亿
1775974,5484,梦里呓语,,,2766226,2018-05-22 14:00:00,31.2亿
1775974,5484,梦里呓语,,,2733435,2016-04-09 07:00:00,31.2亿
1775974,5484,梦里呓语,,,2822922,2017-01-01 07:00:00,31.2亿
1775974,5484,梦里呓语,,,2733648,2016-04-16 08:00:00,31.2亿
1775974,5484,梦里呓语,,,6783842,2022-04-18 12:00:01,31.2亿
1775974,5484,梦里呓语,,,2743479,2018-09-26 21:30:10,31.2亿
2078814,98879,三日成晶,2023-02-17,1,7660289,2023-01-26 12:00:00,433.4亿
2078814,98879,三日成晶,,,7438963,2022-12-01 12:00:00,433.4亿
2078814,98879,三日成晶,,,6576011,2022-03-10 13:00:00,433.4亿
2078814,98879,三日成晶,,,6490417,2022-09-05 11:00:00,433.4亿
2078814,98879,三日成晶,,,5904775,2022-02-02 21:00:00,433.4亿
2078814,98879,三日成晶,,,5382850,2022-05-05 12:00:00,433.4亿
2078814,98879,三日成晶,,,5567258,2021-08-04 12:00:00,433.4亿
2078814,98879,三日成晶,,,4717033,2021-04-01 21:00:00,433.4亿
2078814,98879,三日成晶,,,4507488,2021-05-19 12:00:00,433.4亿
2078814,98879,三日成晶,,,4457818,2021-01-13 21:00:00,433.4亿
2078814,98879,三日成晶,,,4912008,2020-11-18 21:45:00,433.4亿
2078814,98879,三日成晶,,,4637335,2020-06-23 21:00:00,433.4亿
2078814,98879,三日成晶,,,4495098,2020-05-06 21:00:00,433.4亿
