aid,author,avg_click,chapter_count,comment_count,copystatus,created,era,intro,is_signed,is_vip,like_count,logline,ndlist_date,ndlist_rank,nid,ranking,rating,score,style,tags,title,updated,word_count,xx,yc
3462640,星映海,"11,181",111,437,0,2020-12-02,近代现代,,1,1,2422,别想了，我真的不会多做兼职了,0000-00-00,-1,5326812,114988,5.0,3291万,轻松,"综漫,少年漫,文野",可我只想开甜品店啊？！,2022-08-01,"417,679",言情,衍生
3462640,星映海,"6,747",61,355,0,2021-03-03,近代现代,,1,1,2576,等等，先救下世界再黑化,0000-00-00,-1,5455265,183164,8.2,2572万,正剧,"综漫,少年漫,成长,咒回",为了幼驯染我不得不暂缓黑化,2022-10-20,"200,198",言情,衍生
3462640,星映海,712,3,18,0,2022-02-10,近代现代,,1,0,234,虽然玩悟，但还是第一,0000-00-00,-1,6553465,暂无排,,248.2万,正剧,"综漫,黑篮,文野,咒回",玩悟丧志可不行啊！,2022-02-15,"9,281",言情,衍生
1213980,弓青瀚,"24,516",162,"3,325",0,2019-03-19,近代现代,,1,1,7252,我总会让这个世界变得不科学,0000-00-00,-1,4081108,60906,9.3,1.9亿,轻松,"打脸,甜文,快穿,爽文",逃不过的真香定律[快穿],2021-06-06,"542,311",纯爱,原创
3027978,糖果粉粉,"20,150",161,"1,170",0,2021-04-07,近代现代,,1,1,7464,沙雕女配生生把虐文变成沙雕文,0000-00-00,-1,5570112,105989,8.0,8112.1万,爆笑,"女配,打脸,穿书,爽文",虐文女配她过分沙雕[穿书],2022-09-12,"472,041",言情,原创
3462640,星映海,96,6,1,0,2022-06-26,架空历史,,1,0,12,干嘛把十四岁少女独自丢进森林啊,0000-00-00,-1,7018166,暂无排,,124.7万,轻松,"西幻,成长,魔法幻情,大冒险",我，公主，在森林荒野求生,2023-02-01,"19,638",言情,原创
3027978,糖果粉粉,"40,323",128,"4,118",0,2022-03-07,近代现代,,1,1,22283,替身女配她逃他追的狗血故事,0000-00-00,-1,5236712,45742,8.6,1.8亿,轻松,"女配,打脸,穿书,爽文",穿成替身恶女配后，我跑了[穿书],2022-12-04,"344,442",言情,原创
3027978,糖果粉粉,"63,159",150,"5,713",0,2021-12-08,近代现代,,1,1,28209,穿成与男主同住寝室的恶女配,0000-00-00,-1,6201928,26205,8.1,2.2亿,轻松,"女配,打脸,甜文,穿书",女扮男装后发现室友是男主[穿书],2022-07-30,"386,827",言情,原创
3027978,糖果粉粉,"46,807",238,"1,712",0,2021-09-07,近代现代,,1,1,15881,暴力替身女配一路沙雕逆袭,0000-00-00,-1,4948468,42923,7.7,1.4亿,轻松,"女配,打脸,穿书,爽文",满级大佬穿成废材恶女配[穿书],2022-08-28,"657,715",言情,原创
3462640,星映海,24,2,2,0,2023-02-08,架空历史,,1,0,12,变态师姐勇敢追爱,0000-00-00,-1,7791422,暂无排,,92.5万,轻松,"因缘邂逅,甜文,爽文,古代幻想",高冷大师姐竟是变态,2023-02-09,"6,633",言情,原创
