aid,author,genre,nid,rank,rank_date,tags,title,vip_date,wd_count,xx,yc
4003646,草莓菌落,衍生-纯爱-近代现代-轻小说,6857121,8,2023-02-03,"综漫,文野,咒回,JOJO",全网最红纸片人只是配角,2023-01-31 00:00:00,9.01万,纯爱,2
1159702,子夜不眠,原创-纯爱-近代现代-爱情,7690577,9,2023-02-03,"现代架空,穿书,爽文",残废弃子穿书后在娃综摆烂了,2023-01-31 09:00:00,8.85万,纯爱,1
3123788,栗子杲杲,衍生-言情-近代现代-其他衍生,7164675,9,2023-02-09,"综漫,甜文,市井生活,柯南",作为景光嫂子的我只想安心养崽子,2023-02-06 10:00:00,16.07万,言情,2
3857523,顾西子,原创-纯爱-近代现代-爱情,7560994,11,2023-02-15,"天作之合,甜文,快穿,穿书",男主和谁he了？,2023-02-12 00:00:00,9.33万,纯爱,1
5313830,红薯粉条,原创-纯爱-幻想未来-爱情,7602342,12,2023-02-15,"强强,生子,甜文,爽文",我家雄主每天都在装逼,2023-02-12 04:01:23,13.18万,纯爱,1
4602951,与我道三安,衍生-纯爱-近代现代-东方衍生,6708096,1,2023-01-29,"强强,悬疑推理,柯南,马甲文",当红黑双方看到弹幕后,2023-01-26 12:00:00,8.24万,纯爱,2
3716767,竹兔南山,原创-言情-近代现代-爱情,7632598,2,2023-01-29,"都市情缘,娱乐圈,甜文,穿书",当社恐穿成恋综撩人精,2023-01-26 08:00:00,6.61万,言情,1
1972058,邈邈一黍,原创-言情-近代现代-爱情,6280579,3,2023-01-29,"时代奇缘,穿越时空,爽文",全家穿成年代文对照组后,2023-01-26 00:01:50,7万,言情,1
2440464,天选之人,原创-言情-近代现代-爱情,5611162,4,2023-01-29,"娱乐圈,系统,爽文,校园",重生后我靠卷男人爆红全网[女穿男],2023-01-26 00:05:00,8.58万,言情,1
3445972,星期十,原创-纯爱-近代现代-爱情,5379207,5,2023-01-29,"无限流,系统,甜文,爽文",小美人在修罗场被坏男人哄,2023-01-26 02:10:00,8.65万,纯爱,1
2333811,咿芽,原创-纯爱-近代现代-爱情,5064767,6,2023-01-29,"情有独钟,甜文,成长,校园",挠心,2023-01-26 21:00:00,8.93万,纯爱,1
4647178,沽酒待人归,衍生-纯爱-架空历史-西方衍生,7586356,7,2023-01-29,"奇幻魔幻,情有独钟,西方罗曼,传奇",[希腊神话]你们不要过来啊,2023-01-26 23:04:59,8.11万,纯爱,2
2300301,秉烟,原创-纯爱-幻想未来-爱情,4119079,1,2023-01-27,"科幻,机甲,星际,爽文",我在星际神话复苏,2023-01-24 00:00:00,21.8万,纯爱,1
958247,金丙,原创-言情-近代现代-爱情,4132003,2,2023-01-27,"都市情缘,业界精英,励志人生,甜文",月向西行,2023-01-24 20:00:20,14.78万,言情,1
1909569,时槐序,衍生-言情-架空历史-东方衍生,6395354,3,2023-01-27,"穿越时空,系统,爽文,基建",大唐第一太子,2023-01-24 09:00:00,25.58万,言情,2
3097846,迷途未返,原创-言情-近代现代-爱情,6348776,1,2023-01-26,"娱乐圈,甜文,穿书,爽文",穿成娱乐圈顶流的小姑姑,2023-01-23 00:02:00,8.48万,言情,1
3697670,想吃炸鸡喝可乐,衍生-无CP-近代现代-其他衍生,6389083,2,2023-01-26,"综漫,少年漫,文野,柯南",是科学不是异能！,2023-01-23 23:59:30,7.35万,无CP,2
2165827,摘星怪,原创-纯爱-近代现代-爱情,6419083,3,2023-01-26,"情有独钟,天作之合,甜文,校园",你老婆没了,2023-01-23 00:01:07,9.73万,纯爱,1
1276241,青端,原创-纯爱-架空历史-爱情,6959715,4,2023-01-26,"强强,情有独钟,天之骄子,仙侠修真",全修界都在传唱我们的故事,2023-01-23 09:23:00,9.11万,纯爱,1
2697436,马户子君,原创-纯爱-架空历史-爱情,5002936,1,2023-01-25,"宫廷侯爵,穿越时空,甜文,朝堂之上",臣好柔弱啊,2023-01-22 10:48:00,12.32万,纯爱,1
2871415,忘书,原创-纯爱-近代现代-爱情,6374273,2,2023-01-25,"豪门世家,天作之合,娱乐圈,穿书",豪门后爸的快乐你想象不到,2023-01-22 00:00:00,15.94万,纯爱,1
2192879,萌神大白,原创-无CP-架空历史-剧情,6607269,3,2023-01-25,"穿越时空,系统,穿书,爽文",团宠小国舅,2023-01-22 21:00:00,15.68万,无CP,1
1048602,长乐思央,原创-纯爱-近代现代-爱情,7188036,4,2023-01-25,"无限流,系统,甜文,爽文",我老婆是无限游戏BOSS,2023-01-22 00:00:01,16.01万,纯爱,1
387016,superpanda,原创-纯爱-近代现代-爱情,7304886,5,2023-01-25,"强强,天之骄子,业界精英,商战",水火难容,2023-01-22 00:03:00,13.79万,纯爱,1
3227510,沐裕鹿,衍生-无CP-近代现代-东方衍生,6350744,1,2023-01-24,"强强,爽文,咒回,柯南",咒术漫画里的我风靡柯学界,2023-01-21 10:10:01,11.63万,无CP,2
